iter	Passed	Remaining
0	173	173632
1	179	89432
2	184	61416
3	189	47265
4	195	38857
5	200	33141
6	203	28890
7	206	25651
8	209	23024
9	211	20901
10	213	19191
11	215	17762
12	218	16588
13	220	15496
14	221	14547
15	222	13705
16	224	12970
17	225	12312
18	226	11706
19	228	11175
20	229	10710
21	231	10269
22	232	9864
23	233	9497
24	235	9172
25	236	8857
26	237	8562
27	238	8281
28	239	8017
29	240	7771
30	241	7541
31	242	7331
32	243	7141
33	245	6983
34	246	6804
35	247	6633
36	248	6473
37	249	6320
38	250	6177
39	251	6037
40	252	5905
41	253	5779
42	254	5659
43	255	5544
44	256	5434
45	257	5336
46	259	5252
47	260	5166
48	261	5076
49	262	4987
50	263	4908
51	264	4825
52	265	4747
53	266	4672
54	267	4597
55	268	4525
56	269	4456
57	270	4390
58	271	4330
59	273	4278
60	274	4227
61	275	4174
62	276	4119
63	278	4066
64	279	4015
65	280	3963
66	280	3912
67	281	3863
68	282	3816
69	283	3769
70	284	3723
71	285	3680
72	287	3649
73	289	3620
74	290	3581
75	291	3541
76	292	3502
77	293	3465
78	294	3428
79	295	3393
80	296	3359
81	296	3324
82	297	3286
83	298	3253
84	299	3220
85	300	3188
86	301	3163
87	303	3150
88	305	3122
89	305	3093
90	306	3066
91	308	3040
92	309	3016
93	310	2990
94	311	2963
95	311	2937
96	312	2911
97	313	2886
98	314	2862
99	315	2842
100	317	2825
101	319	2809
102	320	2787
103	321	2766
104	322	2745
105	323	2725
106	324	2704
107	324	2684
108	325	2663
109	326	2643
110	327	2623
111	328	2603
112	329	2583
113	330	2565
114	331	2548
115	333	2541
116	334	2523
117	335	2507
118	336	2490
119	337	2473
120	338	2456
121	338	2439
122	340	2424
123	340	2408
124	342	2395
125	343	2380
126	344	2364
127	349	2382
128	351	2374
129	353	2363
130	354	2354
131	368	2421
132	370	2412
133	373	2413
134	374	2401
135	376	2392
136	402	2537
137	403	2522
138	404	2508
139	405	2493
140	406	2478
141	407	2463
142	408	2449
143	420	2501
144	421	2487
145	422	2473
146	423	2459
147	424	2445
148	427	2439
149	429	2432
150	430	2418
151	431	2405
152	432	2391
153	432	2378
154	433	2365
155	435	2353
156	436	2341
157	437	2328
158	438	2317
159	439	2305
160	439	2291
161	440	2279
162	442	2269
163	443	2258
164	444	2251
165	445	2240
166	446	2228
167	447	2217
168	448	2205
169	449	2194
170	450	2182
171	451	2172
172	452	2161
173	453	2150
174	453	2139
175	454	2129
176	455	2120
177	458	2117
178	459	2108
179	460	2097
180	461	2087
181	462	2077
182	462	2066
183	463	2057
184	464	2047
185	465	2037
186	466	2027
187	467	2017
188	468	2008
189	468	1998
190	469	1989
191	471	1982
192	473	1977
193	473	1969
194	474	1960
195	475	1951
196	476	1942
197	477	1934
198	478	1925
199	479	1916
200	480	1908
201	480	1899
202	481	1891
203	482	1882
204	483	1874
205	484	1866
206	485	1859
207	486	1853
208	487	1845
209	488	1837
210	489	1829
211	490	1822
212	491	1815
213	492	1807
214	492	1799
215	493	1792
216	494	1784
217	495	1777
218	496	1770
219	497	1762
220	498	1755
221	498	1748
222	499	1742
223	501	1736
224	502	1730
225	503	1723
226	504	1716
227	505	1710
228	506	1703
229	506	1697
230	507	1690
231	508	1683
232	509	1677
233	510	1670
234	511	1664
235	512	1657
236	512	1651
237	513	1644
238	514	1638
239	515	1633
240	517	1628
241	518	1623
242	519	1618
243	520	1612
244	521	1607
245	522	1601
246	523	1595
247	524	1589
248	525	1583
249	526	1578
250	527	1573
251	528	1567
252	529	1561
253	530	1556
254	531	1551
255	532	1546
256	532	1540
257	533	1535
258	534	1529
259	535	1524
260	536	1518
261	537	1513
262	538	1507
263	538	1502
264	539	1497
265	540	1491
266	541	1486
267	542	1481
268	543	1475
269	543	1470
270	544	1465
271	545	1461
272	546	1456
273	547	1451
274	548	1445
275	549	1440
276	550	1435
277	550	1430
278	551	1426
279	552	1421
280	553	1416
281	554	1411
282	555	1406
283	556	1401
284	556	1397
285	557	1392
286	558	1387
287	559	1383
288	560	1378
289	561	1374
290	562	1369
291	563	1365
292	563	1360
293	564	1356
294	565	1351
295	566	1347
296	567	1343
297	568	1338
298	569	1334
299	569	1329
300	570	1325
301	571	1321
302	572	1317
303	573	1312
304	574	1308
305	575	1304
306	575	1300
307	576	1296
308	577	1291
309	578	1287
310	579	1283
311	580	1279
312	580	1275
313	581	1271
314	582	1267
315	583	1263
316	584	1259
317	585	1255
318	586	1251
319	587	1247
320	587	1243
321	588	1239
322	589	1235
323	590	1231
324	591	1228
325	592	1224
326	593	1220
327	593	1216
328	594	1212
329	595	1209
330	596	1205
331	597	1201
332	598	1197
333	598	1194
334	599	1190
335	600	1186
336	601	1182
337	602	1179
338	602	1175
339	603	1172
340	604	1168
341	605	1164
342	606	1161
343	607	1157
344	607	1154
345	608	1150
346	609	1147
347	610	1143
348	611	1140
349	612	1136
350	612	1133
351	613	1129
352	614	1126
353	615	1122
354	616	1119
355	617	1116
356	617	1112
357	618	1109
358	619	1106
359	620	1103
360	621	1099
361	622	1096
362	622	1093
363	623	1089
364	624	1086
365	625	1083
366	626	1080
367	627	1077
368	628	1074
369	628	1070
370	629	1067
371	630	1064
372	631	1061
373	632	1058
374	633	1056
375	634	1052
376	635	1049
377	636	1046
378	637	1043
379	637	1040
380	638	1037
381	639	1035
382	640	1031
383	641	1028
384	642	1025
385	643	1023
386	644	1020
387	644	1017
388	645	1014
389	646	1011
390	647	1008
391	648	1005
392	649	1002
393	650	1000
394	651	997
395	651	994
396	652	991
397	653	988
398	654	985
399	655	982
400	656	980
401	656	977
402	657	974
403	658	971
404	659	968
405	660	965
406	661	963
407	661	960
408	662	957
409	663	955
410	664	952
411	665	950
412	666	947
413	667	944
414	668	941
415	668	939
416	669	936
417	670	933
418	671	931
419	672	928
420	673	925
421	674	923
422	674	920
423	675	918
424	676	915
425	677	912
426	678	910
427	679	907
428	680	905
429	680	902
430	681	900
431	682	897
432	683	895
433	684	892
434	685	890
435	686	887
436	686	885
437	687	882
438	688	880
439	689	877
440	690	875
441	691	872
442	692	870
443	692	867
444	693	865
445	694	862
446	695	860
447	696	858
448	697	855
449	698	853
450	699	850
451	699	848
452	700	846
453	701	843
454	702	841
455	703	839
456	704	836
457	705	834
458	705	831
459	706	829
460	707	827
461	708	825
462	709	822
463	710	820
464	711	818
465	712	816
466	712	813
467	713	811
468	714	809
469	715	807
470	716	804
471	717	802
472	718	800
473	719	798
474	720	795
475	720	793
476	721	791
477	722	789
478	723	787
479	724	784
480	725	782
481	726	780
482	727	778
483	727	776
484	728	773
485	729	771
486	730	769
487	731	767
488	732	765
489	733	763
490	734	761
491	735	759
492	736	757
493	737	755
494	738	753
495	739	751
496	740	749
497	740	746
498	741	744
499	742	742
500	743	741
501	744	738
502	745	736
503	746	734
504	747	732
505	748	730
506	749	728
507	750	726
508	750	724
509	751	722
510	752	720
511	753	718
512	754	716
513	755	714
514	756	712
515	757	710
516	758	708
517	759	706
518	759	704
519	760	702
520	761	700
521	762	698
522	763	696
523	764	694
524	765	692
525	765	690
526	766	688
527	767	686
528	768	684
529	769	682
530	770	680
531	771	678
532	772	676
533	773	674
534	774	672
535	774	670
536	775	668
537	776	666
538	777	665
539	778	663
540	779	661
541	780	659
542	780	657
543	781	655
544	782	653
545	783	651
546	784	649
547	785	647
548	786	646
549	787	644
550	788	642
551	789	640
552	790	638
553	791	636
554	792	635
555	792	633
556	793	631
557	794	629
558	795	627
559	796	625
560	797	623
561	798	622
562	799	620
563	800	618
564	801	616
565	801	614
566	802	613
567	803	611
568	804	609
569	805	607
570	806	605
571	807	604
572	808	602
573	809	600
574	810	598
575	810	596
576	811	595
577	812	593
578	813	591
579	815	590
580	815	588
581	816	586
582	817	585
583	818	583
584	819	581
585	820	579
586	821	577
587	822	576
588	823	574
589	824	572
590	825	570
591	826	569
592	827	567
593	828	566
594	829	564
595	830	562
596	831	560
597	831	559
598	832	557
599	833	555
600	834	553
601	835	552
602	836	550
603	836	548
604	837	547
605	838	545
606	839	543
607	840	541
608	841	540
609	842	538
610	843	536
611	843	535
612	844	533
613	845	531
614	846	529
615	847	528
616	848	526
617	849	524
618	850	523
619	850	521
620	851	519
621	852	518
622	853	516
623	854	514
624	855	513
625	856	511
626	857	509
627	858	508
628	859	506
629	860	505
630	861	503
631	862	502
632	864	501
633	865	499
634	866	497
635	866	496
636	867	494
637	868	492
638	869	491
639	870	489
640	871	487
641	872	486
642	873	485
643	874	483
644	875	482
645	876	480
646	877	478
647	878	477
648	878	475
649	879	473
650	880	472
651	881	470
652	882	468
653	883	467
654	884	465
655	885	464
656	885	462
657	886	460
658	887	459
659	888	457
660	889	456
661	890	454
662	891	453
663	892	451
664	893	449
665	894	448
666	894	446
667	895	445
668	896	443
669	897	441
670	898	440
671	898	438
672	899	437
673	900	435
674	901	434
675	902	432
676	903	431
677	904	429
678	905	428
679	906	426
680	906	424
681	907	423
682	908	421
683	909	420
684	910	418
685	911	417
686	912	415
687	912	413
688	913	412
689	914	410
690	915	409
691	916	407
692	917	406
693	918	404
694	919	403
695	920	401
696	920	400
697	921	398
698	922	397
699	923	395
700	924	394
701	925	392
702	926	391
703	926	389
704	927	388
705	928	386
706	929	385
707	930	383
708	931	382
709	932	380
710	933	379
711	934	377
712	935	376
713	936	374
714	937	373
715	937	372
716	938	370
717	939	369
718	940	367
719	941	366
720	942	364
721	943	363
722	944	361
723	944	360
724	945	358
725	946	357
726	947	355
727	948	354
728	949	353
729	950	351
730	951	350
731	952	348
